"lhs","op","rhs","block","group","label.x","est.x","se.x","z.x","pvalue.x","ci.lower.x","ci.upper.x","label.y","est.y","se.y","z.y","pvalue.y","ci.lower.y","ci.upper.y"
"ipeqopt_r","~1","","Poland",11,".p16.",4.793,0.0213526151768782,224.48100676568,0,4.75140619526334,4.83510690870819,".p16.",4.928,0.0179134163745963,275.083095621639,0,4.89256837854902,4.96278768041758
"ipudrst_r","~1","","Poland",11,".p17.",4.629,0.022818462626753,202.874635836837,0,4.58456393082798,4.67401066068999,".p17.",4.772,0.0199661494551391,238.99204768332,0,4.73261800879288,4.81088387647691
"impenv_r","~1","","Poland",11,".p18.",4.843,0.020447782196205,236.843033432203,0,4.80283784564191,4.88299167897847,".p18.",5.108,0.0175901696862416,290.36781210491,0,5.07314298728109,5.14209518541506
"Benev","~1","","Poland",11,"",-0.076,0.0301129184755599,-2.52123983931458,0.0116942114570049,-0.134942125420102,-0.0169016540571254,"",-0.461,0.0303624485161903,-15.1715345794579,0,-0.520154243154577,-0.401135632006208
"Unive","~1","","Poland",11,"",0.11,0.0271125423458956,4.06675342650254,4.76726375091552e-05,0.0571204179590937,0.163399631013639,"",-0.25,0.0267547990093174,-9.33386279944891,0,-0.30216406565167,-0.19728718070793
"Benev","=~","iphlppl_r","Slovenia",12,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Benev","=~","iplylfr_r","Slovenia",12,".p2.",0.862,0.0136103318005572,63.3673732108657,0,0.835775214582892,0.889126734876357,".p2.",0.883,0.01317319860059,67.02073984456,0,0.857058521512515,0.908696511149215
"Unive","=~","ipeqopt_r","Slovenia",12,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Unive","=~","ipudrst_r","Slovenia",12,".p4.",1.08,0.0204775822701508,52.7385860900557,0,1.0398234117306,1.1200940592105,".p4.",1.131,0.0208663609263025,54.188930502047,0,1.08982846616207,1.17162309797
"Unive","=~","impenv_r","Slovenia",12,".p5.",0.951,0.0192213744019469,49.490230099638,0,0.913597040422468,0.98894344354482,".p5.",1.003,0.0195562210628974,51.3059374028639,0,0.965020764732598,1.04167974264656
"Benev","~~","Unive","Slovenia",12,"",0.214,0.020624423767677,10.3763576441225,0,0.173583269430818,0.254429525003895,"",0.148,0.0133155678930469,11.0893499883706,0,0.121562959155837,0.173759026163977
"iphlppl_r","~~","iphlppl_r","Slovenia",12,"",0.298,0.0277994345989096,10.7325915151256,0,0.243874085297107,0.352845866505986,"",0.397,0.0402007912156323,9.86938474053973,0,0.317964972448532,0.475549178313839
"iplylfr_r","~~","iplylfr_r","Slovenia",12,"",0.673,0.0402224529205107,16.74296903766,0,0.594608724772788,0.752277842960906,"",0.652,0.0421814768426846,15.4674392617994,0,0.569765255610851,0.735113606463595
"ipeqopt_r","~~","ipeqopt_r","Slovenia",12,"",0.583,0.0447249265854195,13.0315606831946,0,0.495176349530696,0.670494840167936,"",0.582,0.0468883295211304,12.4220854314404,0,0.490551397892351,0.674350272205674
"ipudrst_r","~~","ipudrst_r","Slovenia",12,"",0.718,0.046610965029096,15.4048350019794,0,0.626678412814572,0.80939003829794,"",0.601,0.0465105768978223,12.921356369864,0,0.509820683444812,0.692138794684636
"impenv_r","~~","impenv_r","Slovenia",12,"",0.468,0.0318975254846299,14.6811596161843,0,0.405774661855335,0.530810664146981,"",0.47,0.0339562174075805,13.8542838449892,0,0.403886111096713,0.536992037436852
"Benev","~~","Benev","Slovenia",12,"",0.299,0.0318132181861974,9.40488754186544,0,0.236846977508753,0.361552501263276,"",0.173,0.0269793259453284,6.41776822270286,1.38286493367445e-10,0.120268553541861,0.226025567901882
"Unive","~~","Unive","Slovenia",12,"",0.169,0.0203959387668695,8.27462870718945,2.22044604925031e-16,0.128793515016468,0.208744125844365,"",0.129,0.0156539029717505,8.22256454802533,2.22044604925031e-16,0.0980341415716283,0.159396313655859
"iphlppl_r","~1","","Slovenia",12,".p14.",4.863,0.0233792526338243,208.02464031078,0,4.8176381267384,4.90928311303392,".p14.",5.023,0.0191662324090617,262.05587402781,0,4.98505866053572,5.06018891101789
"iplylfr_r","~1","","Slovenia",12,".p15.",5.114,0.0202368439501724,252.688485447536,0,5.0739539627041,5.15328093331029,".p15.",5.256,0.0168331722318731,312.225861052608,0,5.22275928302339,5.28874410566345
"ipeqopt_r","~1","","Slovenia",12,".p16.",4.793,0.0213526151768781,224.481006765681,0,4.75140619526334,4.83510690870819,".p16.",4.928,0.0179134163745963,275.083095621639,0,4.89256837854902,4.96278768041758
"ipudrst_r","~1","","Slovenia",12,".p17.",4.629,0.022818462626753,202.874635836837,0,4.58456393082798,4.67401066068999,".p17.",4.772,0.0199661494551391,238.992047683319,0,4.73261800879288,4.81088387647691
"impenv_r","~1","","Slovenia",12,".p18.",4.843,0.0204477821962051,236.843033432202,0,4.80283784564191,4.88299167897847,".p18.",5.108,0.0175901696862416,290.36781210491,0,5.07314298728109,5.14209518541506
"Benev","~1","","Slovenia",12,"",0.118,0.0307882899745074,3.81716348823076,0.000134994722949866,0.0571799968601408,0.177867875851361,"",NA,0.0264755470311734,0.131391779765792,0.895465391086569,-0.0484124494073974,0.055369787896795
"Unive","~1","","Slovenia",12,"",0.306,0.0269459316807039,11.369513656496,0,0.253549082606715,0.359175193854828,"",0.196,0.0230460201765812,8.5028416484622,0,0.150787290655652,0.241126029721817
"Benev","=~","iphlppl_r","Switzerland",13,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
"Benev","=~","iplylfr_r","Switzerland",13,".p2.",0.862,0.0136103318005573,63.3673732108656,0,0.835775214582891,0.889126734876356,".p2.",0.883,0.01317319860059,67.0207398445599,0,0.857058521512514,0.908696511149214
"Unive","=~","ipeqopt_r","Switzerland",13,"",NA,0,NA,NA,1,1,"",NA,0,NA,NA,1,1
